timestamp,method,threads,num_steps,repeats,time_sec,speedup,pi,abs_error
2026-03-25 13:36:22,3,16,100000000,3,0.012550000,7.943506,3.141592653590,1.821e-14
2026-03-25 13:36:22,4,16,100000000,3,0.012737900,7.826329,3.141592653590,8.926e-14
2026-03-25 13:52:12,serial,1,100000000,3,0.099760500,1.000000,3.141592653590,6.333e-13
2026-03-25 13:52:13,1,16,100000000,3,0.013225600,7.542985,3.141592653590,1.732e-14
2026-03-25 13:52:13,2,16,100000000,3,0.012671000,7.873136,3.141592653590,8.926e-14
2026-03-25 13:52:13,3,16,100000000,3,0.012643700,7.890135,3.141592653590,1.821e-14
2026-03-25 13:52:13,4,16,100000000,3,0.012820500,7.781327,3.141592653590,8.926e-14
2026-03-25 13:52:16,serial,1,100000000,3,0.099299400,1.000000,3.141592653590,6.333e-13
2026-03-25 13:52:16,1,16,100000000,3,0.012738200,7.795403,3.141592653590,1.732e-14
2026-03-25 13:52:16,2,16,100000000,3,0.012816800,7.747597,3.141592653590,8.926e-14
2026-03-25 13:52:16,3,16,100000000,3,0.012800700,7.757341,3.141592653590,1.732e-14
2026-03-25 13:52:16,4,16,100000000,3,0.013160300,7.545375,3.141592653590,8.926e-14
2026-03-25 13:52:18,serial,1,100000000,3,0.098405200,1.000000,3.141592653590,6.333e-13
2026-03-25 13:52:18,1,16,100000000,3,0.012620000,7.797559,3.141592653590,1.732e-14
2026-03-25 13:52:18,2,16,100000000,3,0.012779100,7.700480,3.141592653590,8.926e-14
2026-03-25 13:52:18,3,16,100000000,3,0.012440300,7.910195,3.141592653590,1.821e-14
2026-03-25 13:52:18,4,16,100000000,3,0.012566100,7.831006,3.141592653590,8.926e-14
2026-03-25 13:52:20,serial,1,100000000,3,0.098427700,1.000000,3.141592653590,6.333e-13
2026-03-25 13:52:20,1,16,100000000,3,0.012859300,7.654204,3.141592653590,1.732e-14
2026-03-25 13:52:20,2,16,100000000,3,0.012624000,7.796871,3.141592653590,8.926e-14
2026-03-25 13:52:20,3,16,100000000,3,0.012708700,7.744907,3.141592653590,1.732e-14
2026-03-25 13:52:20,4,16,100000000,3,0.012758900,7.714435,3.141592653590,8.926e-14
2026-03-25 13:52:22,serial,1,100000000,3,0.098022400,1.000000,3.141592653590,6.333e-13
