timestamp,method,threads,n,serial_time,parallel_time,speedup
2026-03-25 10:03:27,static,16,2000,0.787501,0.132380,5.948812
2026-03-25 10:04:01,static,16,3000,2.842158,0.460990,6.165333
2026-03-25 10:05:52,single_blocked,16,2000,0.783519,0.246500,3.178579
2026-03-25 10:06:23,double_blocked,16,2000,0.799148,0.342959,2.330157
2026-03-25 10:06:52,double_blocked,16,2000,0.831792,0.360558,2.306960
2026-03-25 10:07:52,static,8,2000,0.800315,0.137505,5.820255
2026-03-25 10:08:03,static,4,2000,0.787844,0.210312,3.746065
2026-03-25 10:09:53,static,32,2000,0.785720,0.132716,5.920332
2026-03-25 10:11:01,static,16,2000,0.782104,0.131622,5.942071
